Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
MATD3   7.60    27.38      1.75    1.346      0.0085  0.562      3.54       6.86       -1.38       9.04        7.23    0.1963      0.059       2.68    0.0905      0.0638 2834320.00
WEGE3   34.37   27.85      8.95    4.519      0.0174  4.797      15.00      20.73      19.84       20.32       18.67   0.218       0.166       1.86    0.3156      0.3213 282425000.00
SEBB11  23.27   28.01      6.44    2.214      0.00    5.279      24.65      23.96      28.94       23.73       23.73   0.0924      0.074       2.44    0.2415      0.2301 0.00   
CCRO3   13.21   28.57      2.10    1.611      0.0146  0.504      20.67      4.91       -0.94       9.09        7.23    0.3278      0.0593      1.13    0.1216      0.0737 96703000.00
VVEO3   14.33   28.58      1.48    0.428      0.0171  0.464      1.53       7.56       -5.29       10.22       8.81    0.0566      0.015       2.04    0.0901      0.0517 10732300.00
SMFT3   22.40   29.05      2.79    6.203      0.0157  0.995      11.91      30.44      -2.63       32.06       9.04    0.2037      0.2152      1.47    0.0426      0.0959 44046800.00
PGMN3   3.39    29.07      0.72    0.167      0.0449  0.211      1.29       5.23       -1.06       8.67        3.46    0.032       -0.0091     1.48    0.0539      0.0247 3098470.00
ELCA4   20.20   29.32      7.30    2.765      0.00    1.614      96.33      11.34      -3.15       14.04       11.69   0.2439      0.1292      1.07    0.1603      0.2489 0.00   
ELET3   41.02   29.56      0.84    2.685      0.0054  0.342      3.49       9.02       -0.90       12.75       9.49    0.2978      0.0858      1.88    0.0433      0.0283 263683000.00
ENBR3   24.08   30.41      1.29    0.793      0.059   0.382      -9.12      3.13       -1.12       5.27        4.06    0.253       0.0382      0.89    0.1334      0.0425 0.00   
BSCT5   3.50    30.51      2.76    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0905 0.00   
PNVL4   18.62   31.81      2.46    0.647      0.00    0.951      3.87       19.10      -39.17      24.62       10.68   0.0339      0.0204      1.71    0.0676      0.0773 0.00   
BMGB11  33.60   32.01      1.26    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0393 0.00   
MOSI3   8.24    32.29      1.56    4.761      0.00    1.453      1.89       89.69      1.90        42.98       24.91   0.0531      0.1475      13.30   0.0812      0.0482 0.00   
ELET6   44.88   32.34      0.92    2.938      0.0333  0.374      3.82       9.87       -0.98       13.60       10.12   0.2978      0.0858      1.88    0.0433      0.0283 60246800.00
CREM3   14.50   32.69      2.45    0.685      0.00    0.670      4.89       8.52       -5.41       12.04       7.07    0.0805      0.021       1.29    0.1136      0.075 0.00   
ARML3   16.05   32.96      4.58    4.472      0.018   1.401      8.23       13.07      -3.65       16.40       11.58   0.3423      0.1357      2.22    0.1484      0.1389 9596340.00
TSEP3   40.00   33.05      1.79    1.768      0.00    1.250      5.24       20.44      6.11        17.91       17.91   0.0865      0.0535      1.88    0.091       0.0543 0.00   
NGRD3   1.29    33.23      0.67    1.137      0.0115  0.459      1.85       63.99      4.37        29.16       4.67    0.0178      0.0271      2.37    0.0111      0.0203 600781.00
ELEK4   26.00   33.27      3.62    0.842      0.0025  1.452      5.10       70.89      -150.12     84.56       33.61   0.0119      0.0253      1.94    0.0252      0.1087 0.00   
YDUQ3   20.94   34.41      2.00    1.289      0.0131  0.661      7.43       7.96       -1.62       13.08       6.74    0.162       0.038       1.52    0.0969      0.0581 101760000.00
CPLE5   23.20   34.58      2.98    3.137      0.0177  1.242      16.03      20.22      -3.67       23.01       16.46   0.1552      0.091       1.48    0.0714      0.0861 2684.00
CTIP3   49.50   35.13      8.76    8.248      0.00    3.774      -71.28     21.15      -14.32      21.42       18.26   0.3899      0.2348      0.85    0.2463      0.2494 0.00   
TNLP3   27.75   35.39      0.96    0.468      0.00    0.170      1.76       4.63       -0.45       10.31       10.31   0.1012      -0.0007     1.48    0.0458      0.0272 0.00   
SCAR3   23.35   35.60      0.88    1.711      0.00    0.385      1.41       4.76       -1.80       10.22       8.63    0.3598      0.048       4.63    0.0881      0.0248 289472.00
ELCA3   24.70   35.85      8.92    3.382      0.00    1.973      117.79     13.86      -3.85       16.56       13.79   0.2439      0.1292      1.07    0.1603      0.2489 0.00   
LIPR3   70.12   35.93      3.82    0.000      0.0352  3.624      13.04      -189.43    13.91       -175.51     -175.51 0.00        0.00        9.02    -0.0261     0.1064 1209.95
RDOR3   26.54   36.18      2.67    1.498      0.0096  0.633      2.16       12.08      -2.24       12.49       9.18    0.124       0.0439      2.70    0.0802      0.0737 172522000.00
ELMD3   15.09   36.27      2.64    2.412      0.00    0.900      74.69      12.67      -2.84       16.13       8.82    0.1904      0.0936      1.05    0.0926      0.0728 1383190.00
VIGR3   25.00   36.57      2.55    0.763      0.00    0.899      11.45      12.39      -5.02       15.20       22.95   0.0616      0.0228      1.26    0.0906      0.0698 0.00   
PARD3   20.25   36.76      5.30    2.565      0.0553  2.095      -54.06     17.52      -8.62       18.12       11.99   0.1464      0.07        0.90    0.1526      0.1442 0.00   
GOLL4   9.50    37.40      -0.18   0.216      0.00    0.231      -0.38      1.89       -0.11       6.40        3.55    0.1141      0.0058      0.25    0.1487      -0.0048 91104900.00
JOPA3   24.00   37.50      0.45    0.120      0.0342  0.108      0.28       2.89       1.74        9.58        8.17    0.0414      0.0065      2.07    0.0564      0.0119 113952.00
ALSC3   27.75   38.57      2.20    10.717     0.0095  1.202      9.41       19.33      -4.22       17.49       14.08   0.5545      0.293       5.39    0.0703      0.0569 0.00   
RHDS3   0.11    39.98      3.24    0.548      0.00    0.790      -65.29     7.49       -2.70       10.70       8.06    0.0731      0.0117      0.97    0.118       0.0812 0.00   
RENT3   59.06   40.53      2.49    2.330      0.0243  0.848      240.62     11.80      -1.87       17.12       9.38    0.1974      0.0573      1.02    0.0897      0.0613 419210000.00
RAIA3   30.50   41.22      2.98    0.897      0.00    1.777      4.31       18.18      5.06        16.73       16.73   0.0493      0.0218      2.20    0.178       0.0722 0.00   
AESB3   10.90   41.58      1.47    2.038      0.00    0.331      20.09      7.04       -0.60       16.95       9.66    0.2895      0.1112      1.11    0.0547      0.0353 22811700.00
IMCH3   6.39    41.83      0.59    0.336      0.00    0.289      -9.49      12.28      -0.78       21.16       6.62    0.0273      0.008       0.82    0.0255      0.014 0.00   
PEAB4   74.00   42.14      1.38    19.066     0.0044  1.086      3.85       102.00     11.40       89.68       59.11   0.1869      0.4524      12.49   0.0144      0.0327 0.00   
