Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
POPR4   10.17   0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.0866      0.0565      1.08    0.1525      0.1993 0.00   
PMET3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.041 0.00   
MNSA3   0.42    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    -2.0815     -3.6266     3.63    -0.135      1.457 0.00   
CSTB4   147.69  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.4085      0.2898      2.60    0.224       0.2011 0.00   
CLAN3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0105 0.00   
CFLU4   1000.00 0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.0888      0.1072      1.10    0.1768      0.3215 0.00   
IVTT3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.004 0.00   
MNSA4   0.47    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    -2.0815     -3.6266     3.63    -0.135      1.457 0.00   
PORP4   2.40    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0208 0.00   
CSTB3   150.00  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.4085      0.2898      2.60    0.224       0.2011 0.00   
GNDI3   66.95   -3584.82   5.84    3.423      0.0239  2.378      79.65      87.05      -6.21       91.13       50.88   0.0393      -0.0009     1.17    0.0309      -0.0016 0.00   
PRNR3   11.42   -1639.59   1.96    0.440      0.0226  0.614      3.69       4.78       -3.89       6.71        4.91    0.092       0.0322      1.49    0.1544      -0.0012 2370370.00
ATOM3   2.09    -614.23    2.72    2.121      0.1533  1.770      1.92       -16.96     2.81        -9.94       -10.69  -0.125      -0.0035     17.09   -0.4057     -0.0044 23878.40
PLDN4   486.00  -553.07    1.08    0.919      0.00    0.611      1.07       -75.56     3.10        -33.12      -33.12  -0.0122     -0.0017     10.81   -0.0127     -0.002 0.00   
LVTC3   4.07    -498.44    0.41    0.274      0.0033  0.189      0.67       1.24       -2.01       0.78        0.41    0.2213      -0.0006     2.75    0.1737      -0.0008 84275.20
GUAR4   151.00  -465.97    15.12   8.708      0.00    5.467      22.57      357.43     -748.30     365.57      92.92   0.0244      -0.0187     1.62    0.0194      -0.0324 0.00   
LWSA3   6.05    -407.00    1.23    2.884      0.0086  0.802      6.14       52.28      11.06       37.24       13.90   0.0552      -0.0071     1.45    0.0205      -0.003 43933300.00
EMBR3   19.92   -361.15    1.16    0.550      0.00    0.283      1.27       6.65       -1.71       9.54        6.24    0.0827      -0.0026     1.65    0.056       -0.0032 101915000.00
LCSA4   35.09   -337.52    -228.00 79.738     0.00    125.308    -202.27    -505.80    -96.61      -506.56     -506.56 -0.1577     -0.2363     0.29    -0.2874     0.6755 0.00   
BHGR3   19.10   -272.16    1.10    3.613      0.00    0.855      -194.45    23.70      -8.56       25.95       14.20   0.1524      -0.0131     0.96    0.0393      -0.004 0.00   
DMMO3   1.76    -258.65    -1.72   2.854      0.00    3.346      11.90      6.37       -1.37       5.90        5.42    0.4481      -0.011      2.25    0.7039      0.0066 0.00   
RJCP3   0.01    -224.70    0.65    0.000      0.00    0.619      0.00       -522.94    0.00        -523.96     -917.32 0.00        0.00        0.00    0.00        -0.0029 0.00   
ABYA3   4.91    -214.80    1.76    2.055      0.00    0.527      1.98       19.96      -2.75       33.67       33.67   0.1029      -0.0096     2.09    0.0278      -0.0082 0.00   
PITI4   1.28    -204.74    0.00    0.000      0.00    0.000      0.00       -2637.65   0.00        -2637.65    111.07  0.00        0.00        0.00    0.00        0.00  0.00   
RRRP3   30.34   -197.95    1.40    1.727      0.00    0.378      126.31     8.11       -0.64       16.76       10.66   0.2128      -0.0152     1.02    0.0503      -0.0071 177289000.00
MAPT3   30.05   -189.15    -4.44   0.000      0.00    35.726     -27615.90  -197.26    -3.95       -197.26     -197.26 0.00        0.00        0.00    -0.1811     0.0235 0.00   
BAUH4   72.90   -134.19    3.85    1.746      0.0166  2.329      27.04      40.92      38.35       38.55       24.21   0.0427      -0.013      1.23    0.0917      -0.0287 10094.40
LCSA3   12.50   -120.23    -81.22  28.405     0.00    44.638     -72.05     -180.18    -34.41      -180.95     -180.95 -0.1577     -0.2363     0.29    -0.2874     0.6755 0.00   
MAGG3   59.40   -119.98    1.32    0.684      0.00    0.440      9.32       4.07       -1.55       6.41        5.34    0.1682      -0.0057     1.14    0.1405      -0.011 0.00   
SQIA3   27.37   -110.33    3.70    3.592      0.002   1.490      25.87      62.33      -3.84       67.32       18.50   0.0576      -0.0288     1.43    0.0281      -0.0335 25011600.00
CBEE3   15.00   -101.54    0.67    0.463      0.00    0.205      -0.93      2.96       -0.40       7.25        4.61    0.1564      -0.0046     0.46    0.0762      -0.0066 2035.47
LINX3   37.40   -90.95     4.38    7.885      0.0152  2.745      11.96      53.17      47.06       51.49       22.97   0.1483      -0.0867     2.14    0.0682      -0.0481 0.00   
BNCA3   70.30   -90.30     2.45    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0272 0.00   
MOVI3   10.90   -88.33     1.30    0.374      0.025   0.182      4.74       1.78       -0.28       7.02        4.11    0.2106      -0.0042     1.21    0.1265      -0.0148 37434800.00
AMIL3   32.20   -73.28     7.70    1.129      0.00    2.003      -16.95     136.58     -5.43       138.61      50.13   0.0083      -0.0153     0.75    0.0222      -0.1051 0.00   
CSAN3   17.64   -71.55     1.79    0.813      0.0243  0.240      3.07       4.79       -0.53       11.63       7.84    0.1698      0.0643      1.62    0.0579      -0.025 122736000.00
BRTP3   35.71   -67.26     2.45    1.168      0.00    0.684      8.98       6.03       -2.40       7.55        7.55    0.1937      -0.0296     1.29    0.1341      -0.0364 0.00   
IDVL11  140.00  -66.00     60.56   0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.9176 0.00   
SCLO3   14.10   -55.04     -83.94  0.000      0.00    725.908    -76.91     -96.03     -76.23      -96.22      -96.22  0.00        0.00        0.01    -7.8259     1.5253 0.00   
DOHL3   6.65    -53.92     0.72    0.824      0.00    0.506      1.13       -32.60     1.95        -36.05      222.22  -0.0253     -0.0153     5.15    -0.0174     -0.0133 238.05 
PEFX3   19.00   -52.04     1.68    0.477      0.00    0.597      20.34      5.75       -3.18       6.59        0.00    0.083       -0.0092     1.07    0.1177      -0.0324 0.00   
PEFX5   19.00   -52.04     1.68    0.477      0.00    0.597      20.34      5.75       -3.18       6.59        0.00    0.083       -0.0092     1.07    0.1177      -0.0324 0.00   
OFSA3   21.80   -50.36     1.76    1.193      0.0292  0.926      2.43       9.14       5.71        9.80        7.70    0.1306      -0.0237     2.51    0.1382      -0.0349 179669.00
MTIG4   23.00   -49.52     -359.15 56.001     0.00    36.906     -50.93     -94.31     -44.00      -95.57      -104.60 -0.5938     -1.1309     0.27    -0.478      7.2528 0.00   
TOYB4   2.50    -47.96     -5.43   5.256      0.00    4.405      -6.47      -9.04      -3.83       -9.15       -9.67   -0.5816     -0.1096     0.49    -0.5936     0.1131 0.00   
MYPK4   31.79   -47.49     1.27    0.313      0.00    0.324      1.66       7.18       -1.73       12.78       7.50    0.0436      -0.0003     1.58    0.0685      -0.0268 0.00   
IMBI3   5.01    -46.42     2.81    2659.020   0.00    0.518      -2.21      -97.12     -0.37       -104.72     -107.45 -27.3788    -138.212    0.05    -0.0054     -0.0605 0.00   
MAPT4   7.20    -45.32     -1.06   0.000      0.00    8.560      -6616.80   -47.26     -0.95       -47.26      -47.26  0.00        0.00        0.00    -0.1811     0.0235 118.85 
CLAN4   3.00    -44.92     0.47    15.151     0.00    0.406      -15.50     -82.56     -6.36       -97.43      22.68   -0.1835     -0.3373     0.73    -0.005      -0.0105 0.00   
DOHL4   5.53    -44.84     0.60    0.685      0.00    0.421      0.94       -27.11     1.62        -30.56      188.37  -0.0253     -0.0153     5.15    -0.0174     -0.0133 17037.60
TOYB3   2.29    -43.94     -4.97   4.815      0.00    4.035      -5.93      -8.28      -3.50       -8.39       -8.87   -0.5816     -0.1096     0.49    -0.5936     0.1131 0.00   
USIM6   16.31   -43.88     0.87    0.717      0.0202  0.508      1.53       15.84      4.29        16.11       9.05    0.0452      -0.0061     3.43    0.0404      -0.0199 0.00   
EBTP3   10.21   -43.56     1.17    0.548      0.00    0.353      -502.47    6.42       -0.73       8.46        2.85    0.0853      -0.0103     0.99    0.0603      -0.0268 0.00   
EBTP4   10.00   -42.66     1.14    0.537      0.00    0.346      -492.13    6.29       -0.71       8.33        2.81    0.0853      -0.0103     0.99    0.0603      -0.0268 0.00   
GLOB4   30.49   -40.54     16.35   2.394      0.00    2.246      -15.29     49.78      -5.01       54.59       30.76   0.0481      -0.0591     0.74    0.0625      -0.4032 0.00   
FBRA4   34.58   -39.57     1.66    0.457      0.00    0.738      18.94      7.40       -4.43       10.62       10.62   0.0618      -0.0115     1.11    0.1194      -0.042 0.00   
BRTP4   20.81   -39.19     1.43    0.681      0.00    0.399      5.23       3.51       -1.40       5.03        5.03    0.1937      -0.0296     1.29    0.1341      -0.0364 0.00   
KROT11  40.00   -35.86     0.89    1.887      0.00    0.425      13.84      8.34       -1.39       13.07       8.59    0.2262      -0.0552     1.21    0.0564      -0.0247 0.00   
ITEC3   40.10   -35.12     22.04   2611.690   0.00    9.216      25.42      -26.00     -68.91      -24.80      -29.56  -100.447    -74.3588    5.23    -0.6306     -0.6276 0.00   
HAPV3   4.69    -34.52     0.72    1.312      0.00    0.473      83.05      1013.45    -2.11       1170.46     18.23   0.0013      -0.0381     1.05    0.0005      -0.0209 355748000.00
PRGA4   75.00   -34.18     8.94    2.339      0.00    2.130      19.90      5340.37    -7.99       5802.46     43.17   0.0004      -0.0663     1.29    0.0007      -0.2615 0.00   
IMBI4   3.50    -32.43     1.96    1857.600   0.00    0.362      -1.54      -67.85     -0.26       -75.44      -77.41  -27.3788    -138.212    0.05    -0.0054     -0.0605 0.00   
MGLU3   1.91    -32.42     1.35    0.345      0.00    0.349      5.49       12.56      -1.63       16.57       7.34    0.0275      -0.0106     1.14    0.0422      -0.0417 304110000.00
PRTX3   2.77    -32.27     -145.32 297.651    0.00    1.400      -2.57      -97.11     -1.43       -128.99     37.19   -3.065      -9.2247     0.05    -0.015      4.5037 0.00   
KROT4   5.12    -32.13     0.80    1.691      0.00    0.381      12.40      7.47       -1.25       12.20       8.02    0.2262      -0.0552     1.21    0.0564      -0.0247 0.00   
OMGE3   27.57   -32.03     1.59    3.419      0.00    0.543      10.86      12.56      -1.06       24.34       13.09   0.2723      -0.1112     1.72    0.0469      -0.0495 0.00   
MNPR3   18.15   -31.95     -0.40   0.340      0.00    0.387      -0.35      1.95       -0.28       1.95        1.69    0.1747      -0.0106     0.34    0.21        0.0125 75092.00
BALM3   11.70   -31.44     0.78    0.626      0.0185  0.459      0.96       4.05       1.53        2.91        2.50    0.1545      -0.0048     3.08    0.1533      -0.0248 721.98 
DFVA3   9.90    -31.38     60.69   4.327      0.00    5.365      29.10      -55.91     -31.47      -58.28      -58.28  -0.0774     -0.1379     1.33    -0.1035     -1.9342 0.00   
ASTA4   25.83   -30.79     1.00    0.652      0.00    0.446      2.57       19.90      -3.30       33.20       33.20   0.0328      -0.0212     1.71    0.0252      -0.0325 0.00   
VGOR4   5.87    -29.58     7.18    1.229      0.00    1.468      113.97     27.32      -3.22       34.09       34.09   0.045       -0.0459     1.04    0.06        -0.2429 0.00   
CRBM3   90.00   -28.95     3.26    1.498      0.00    1.172      2.98       -15.45     16.90       -14.17      -14.17  -0.097      -0.0518     2.24    -0.1271     -0.1128 0.00   
BAHI4   86.00   -27.97     52.67   6.010      0.00    3.635      -9.67      -171.36    -4.23       -184.84     489.64  -0.0351     -0.2211     0.13    -0.0219     -1.8832 0.00   
LJQQ3   5.23    -26.54     1.94    0.415      0.00    0.321      1.04       19.31      -1.90       18.97       5.56    0.0215      -0.0156     1.86    0.0214      -0.0733 18722500.00
BALM4   9.80    -26.33     0.65    0.525      0.022   0.385      0.81       3.40       1.28        2.25        1.93    0.1545      -0.0048     3.08    0.1533      -0.0248 2783.30
CLSA3   3.90    -26.13     1.02    1.406      0.00    0.816      1.72       -8.77      1.80        -4.30       -8.81   -0.1603     -0.0538     3.59    -0.1835     -0.0392 1955150.00
DFVA4   8.00    -25.35     49.04   3.497      0.00    4.335      23.51      -45.18     -25.43      -47.55      -47.55  -0.0774     -0.1379     1.33    -0.1035     -1.9342 0.00   
CSNA3   16.17   -24.36     1.21    0.481      0.1539  0.243      1.94       3.03       -0.59       6.86        4.67    0.159       -0.0056     1.53    0.1091      -0.0496 116869000.00
MRVE3   10.13   -24.02     0.83    0.795      0.00    0.236      1.07       28.81      -0.99       64.02       35.21   0.0276      -0.0289     1.99    0.0087      -0.0345 136183000.00
PTBL3   6.83    -23.91     2.52    0.452      0.0308  0.317      -42.96     7.39       -0.66       14.04       7.09    0.0612      -0.0189     0.98    0.058       -0.1054 5760950.00
ALPA3   9.55    -23.17     1.21    1.704      0.00    0.825      2.94       64.33      10.96       72.50       24.99   0.0265      -0.0737     3.51    0.0147      -0.0522 33303.90
MODL3   3.08    -22.99     1.88    0.000      0.0142  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0817 0.00   
ESPA3   1.27    -22.76     0.52    0.462      0.00    0.201      3.45       4.07       -1.03       10.18       5.86    0.1136      -0.0227     1.16    0.0554      -0.023 2148330.00
TAMM4   52.73   -22.74     3.80    0.626      0.00    0.524      -31.11     9.77       -0.96       18.01       9.66    0.0641      -0.0221     0.95    0.0636      -0.167 0.00   
ALPA4   9.37    -22.73     1.19    1.672      0.00    0.810      2.88       63.12      10.75       71.29       24.57   0.0265      -0.0737     3.51    0.0147      -0.0522 40160200.00
TAMM3   52.60   -22.68     3.79    0.625      0.00    0.523      -31.04     9.74       -0.96       17.98       9.65    0.0641      -0.0221     0.95    0.0636      -0.167 0.00   
USIM5   7.87    -21.17     0.42    0.346      0.0418  0.245      0.74       7.64       2.07        7.91        4.44    0.0452      -0.0061     3.43    0.0404      -0.0199 83252500.00
BAHI5   65.00   -21.14     39.81   4.542      0.00    2.747      -7.31      -129.51    -3.19       -143.00     378.80  -0.0351     -0.2211     0.13    -0.0219     -1.8832 0.00   
USIM3   7.85    -21.12     0.42    0.345      0.0381  0.245      0.74       7.62       2.06        7.89        4.43    0.0452      -0.0061     3.43    0.0404      -0.0199 1383210.00
MODL11  8.46    -21.05     1.72    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0817 0.00   
TELB3   16.35   -20.80     0.89    3.554      0.00    0.349      1.10       -4.55      -1.67       -0.91       -4.49   -0.7809     -0.1709     4.96    -0.1171     -0.0428 12579.50
MODL4   2.72    -20.30     1.66    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0817 0.00   
QUAL3   2.82    -19.99     0.60    0.448      0.028   0.171      3.60       1.92       -0.47       5.03        2.39    0.2333      -0.0183     1.16    0.1264      -0.0302 19717000.00
COGN3   3.18    -19.96     0.49    1.050      0.00    0.237      7.70       4.64       -0.77       9.37        6.16    0.2262      -0.0552     1.21    0.0564      -0.0247 61083700.00
AMBP3   14.90   -19.61     2.51    0.528      0.0061  0.237      0.99       2.61       -0.57       7.33        5.19    0.2025      -0.0063     2.30    0.1267      -0.1282 23874400.00
ORVR3   36.12   -19.60     4.85    3.959      0.00    1.338      9.00       32.09      -3.09       42.20       14.34   0.1233      -0.1937     2.22    0.047       -0.2476 11254000.00
CRBM7   60.00   -19.30     2.18    0.999      0.00    0.782      1.99       -10.30     11.26       -9.02       -9.02   -0.097      -0.0518     2.24    -0.1271     -0.1128 0.00   
WMBY3   25.39   -19.30     2.87    0.836      0.00    0.182      1.20       8.62       -1.50       25.02       25.02   0.097       -0.0705     1.44    0.0239      -0.1486 0.00   
GUAR3   6.17    -19.04     0.62    0.356      0.00    0.223      0.92       14.60      -30.58      22.75       5.78    0.0244      -0.0187     1.62    0.0194      -0.0324 10837700.00
TDBH4   0.66    -18.63     1.28    0.906      0.00    0.811      -6.15      8.73       -5.66       10.23       10.23   0.1038      -0.0486     0.63    0.1048      -0.0685 0.00   
TANC4   43.00   -18.54     3.10    0.511      0.00    0.428      -25.37     7.96       -0.78       16.20       8.69    0.0641      -0.0221     0.95    0.0636      -0.167 0.00   
MYPK3   12.03   -17.97     0.48    0.118      0.025   0.123      0.63       2.72       -0.65       8.31        4.88    0.0436      -0.0003     1.58    0.0685      -0.0268 17088900.00
ANIM3   3.83    -16.58     0.61    0.421      0.00    0.156      8.85       2.51       -0.31       9.00        4.76    0.1678      0.0157      1.10    0.0712      -0.0366 27966900.00
CASH3   7.44    -16.57     0.83    1.881      0.00    0.536      1.09       -8.49      1.21        -2.98       -4.04   -0.2215     -0.0718     2.65    -0.0979     -0.0498 15988300.00
CCIM3   5.52    -16.44     0.94    0.498      0.00    0.198      0.53       8.96       -1.09       25.04       38.84   0.0555      -0.0303     2.58    0.0238      -0.0575 0.00   
SYNE3   4.17    -16.23     0.42    1.500      0.00    0.158      1.96       4.40       -0.62       9.09        6.22    0.3408      -0.0635     4.01    0.0392      -0.026 1817850.00
OPCT3   5.40    -16.08     1.36    0.698      0.00    0.446      5.19       5.23       -1.19       9.98        4.52    0.1334      0.0527      1.41    0.0999      -0.0845 2693000.00
TDBH3   0.56    -15.81     1.08    0.769      0.00    0.688      -5.22      7.40       -4.80       8.91        8.91    0.1038      -0.0486     0.63    0.1048      -0.0685 0.00   
TELB4   11.90   -15.14     0.65    2.587      0.00    0.254      0.80       -3.31      -1.21       0.33        1.65    -0.7809     -0.1709     4.96    -0.1171     -0.0428 53523.30
RCSL3   1.64    -15.10     1799.60 3.378      0.00    3.405      25.08      -105.49    -6.70       -105.46     -298.58 -0.032      -0.227      1.38    -0.0335     -119.207 3619790.00
GBIO33  10.40   -14.97     1.32    1.518      0.00    0.791      7.57       13.53      17.58       16.06       16.06   0.1121      -0.1014     1.31    0.0712      -0.0883 0.00   
ZAMP3   6.07    -14.51     1.26    0.438      0.00    0.420      62.83      17.57      -0.92       25.55       4.63    0.0249      -0.0302     1.03    0.0286      -0.0865 15034200.00
LECO4   1.46    -13.48     2.00    0.637      0.00    0.924      -16.84     -29.69     -3.16       -32.69      -32.69  -0.0214     -0.0472     0.82    -0.0348     -0.1482 0.00   
SEDU3   23.80   -13.36     15.00   3.443      0.00    1.531      57.90      -22.47     -2.67       -28.68      -69.64  -0.1533     -0.2573     1.09    -0.0815     -1.1229 0.00   
TESA3   48.00   -13.30     1.62    1.007      0.00    0.523      -11.10     9.41       -1.35       15.25       10.09   0.1071      -0.0758     0.86    0.0642      -0.1218 0.00   
IGUA3   8.15    -12.52     -1.44   0.568      0.00    0.564      -0.65      8.22       -0.60       14.80       5.80    0.0691      -0.0453     0.34    0.0761      0.1152 0.00   
FGUI3   12.00   -12.41     -2.15   16.009     0.00    25.203     -2.20      -57.76     -2.05       -70.17      -70.17  -0.2772     -1.29       0.04    -0.6074     0.1732 0.00   
IGUA6   8.07    -12.40     -1.43   0.562      0.00    0.558      -0.64      8.14       -0.59       14.72       5.77    0.0691      -0.0453     0.34    0.0761      0.1152 0.00   
IGUA5   7.98    -12.26     -1.41   0.556      0.00    0.552      -0.64      8.04       -0.59       14.63       5.73    0.0691      -0.0453     0.34    0.0761      0.1152 0.00   
PRVI3   10.54   -11.74     1.61    0.919      0.00    0.565      -250.86    9.71       -1.48       9.87        6.39    0.0946      -0.0783     0.99    0.0615      -0.1371 0.00   
MTIG3   5.21    -11.22     -81.36  12.686     0.00    8.360      -11.54     -21.36     -9.97       -22.62      -24.76  -0.5938     -1.1309     0.27    -0.478      7.2528 0.00   
CPNY3   2.35    -11.00     0.42    0.232      0.00    0.054      0.20       1.21       -0.13       4.21        4.21    0.1913      -0.0211     2.26    0.0548      -0.0386 0.00   
ARTR3   10.01   -10.24     1.17    0.995      0.00    0.299      -11.30     3.08       -0.47       8.79        5.47    0.3231      -0.0972     0.79    0.1072      -0.1144 0.00   
ECPR4   90.74   -9.92      1.22    0.000      0.00    0.624      175.57     -82.97     -1.29       -82.60      -82.72  0.00        0.00        2.97    -0.0075     -0.1228 0.00   
ECPR3   90.25   -9.87      1.21    0.000      0.00    0.621      174.62     -82.52     -1.29       -82.15      -82.27  0.00        0.00        2.97    -0.0075     -0.1228 0.00   
RCSL4   1.00    -9.21      1097.32 2.060      0.00    2.076      15.29      -64.32     -4.09       -64.30      -182.03 -0.032      -0.227      1.38    -0.0335     -119.207 3696530.00
PTBL4   2.59    -9.07      0.96    0.171      0.00    0.120      -16.29     2.80       -0.25       9.45        4.77    0.0612      -0.0189     0.98    0.058       -0.1054 0.00   
BIOM4   8.68    -9.06      7.81    6.212      0.00    2.279      22.25      -11.06     -6.50       -12.63      -12.50  -0.5617     -0.686      1.40    -0.2604     -0.8626 0.00   
TERI3   64.28   -8.83      0.29    0.107      0.00    0.081      7.90       7.20       -0.26       39.56       39.56   0.0149      -0.0191     1.03    0.0125      -0.0327 0.00   
AZEV4   2.20    -8.78      2.64    0.753      0.00    0.614      -9.49      -3.93      -1.69       -4.37       -8.10   -0.1915     -0.0858     0.86    -0.1792     -0.3005 5089050.00
DASA3   9.18    -8.20      0.87    0.486      0.0079  0.255      3.99       6.60       -0.63       15.17       7.04    0.0736      -0.0598     1.27    0.0448      -0.1061 5302590.00
ALPK3   4.12    -8.16      2.32    0.684      0.00    0.343      -2.95      3.29       -0.49       7.78        4.17    0.2082      -0.0799     0.55    0.1218      -0.2846 669302.00
MNPR4   4.63    -8.15      -0.10   0.087      0.00    0.099      -0.09      0.50       -0.07       0.50        0.43    0.1747      -0.0106     0.34    0.21        0.0125 0.00   
SEMP3   16.86   -8.12      1.36    15.081     0.00    1.201      15.67      -4.42      15.67       -4.07       -4.07   -3.4098     -1.8582     1.64    -0.3021     -0.1681 0.00   
AZEV3   2.03    -8.10      2.43    0.695      0.00    0.566      -8.76      -3.63      -1.56       -4.07       -7.54   -0.1915     -0.0858     0.86    -0.1792     -0.3005 2022520.00
SZPQ4   6.64    -7.85      2.20    0.855      0.00    0.744      2.62       -20.31     -3.17       -22.77      -22.77  -0.0421     -0.1089     2.97    -0.0377     -0.28 0.00   
MEDI3   11.55   -7.52      1.89    0.374      0.00    0.824      -10.02     -9.11      -3.31       -6.61       -6.61   -0.0411     -0.0498     0.79    -0.123      -0.2513 0.00   
TEND3   13.67   -7.27      1.88    0.605      0.00    0.369      3.29       17.54      -1.12       22.92       14.12   0.0345      -0.0859     1.31    0.0262      -0.2584 40620200.00
ENJU3   1.50    -6.90      0.86    1.842      0.00    0.700      1.18       -4.35      1.26        -0.44       -0.66   -0.423      -0.267      5.06    -0.5168     -0.1245 542818.00
TCNO3   1.20    -6.81      -8.40   0.000      0.00    0.034      -0.08      -2.87      -0.04       -15.11      -17.45  0.00        0.00        0.28    -0.0159     1.2336 0.00   
BRFS3   14.85   -6.77      1.77    0.463      0.00    0.422      3.94       1057.39    -1.58       1519.48     11.30   0.0004      -0.0663     1.29    0.0007      -0.2615 230587000.00
VVAR11  14.58   -6.46      2.61    0.382      0.00    0.358      -2.44      7.93       -0.80       12.75       7.18    0.0481      -0.0591     0.74    0.0625      -0.4032 0.00   
VVAR4   4.84    -6.43      2.59    0.380      0.00    0.357      -2.43      7.90       -0.80       12.72       7.17    0.0481      -0.0591     0.74    0.0625      -0.4032 0.00   
PCAR4   72.11   -6.35      3.88    28.731     0.00    0.859      10.23      -69.82     -2.00       -78.10      96.85   -0.4115     -4.2684     1.32    -0.0169     -0.612 0.00   
CBAV3   4.10    -6.27      0.51    0.330      0.1075  0.181      0.89       -7.68      -0.69       -17.55      22.00   -0.043      -0.041      2.26    -0.0282     -0.0814 19373500.00
AERI3   0.87    -6.09      0.82    0.207      0.00    0.174      0.81       2.26       -1.59       5.74        4.86    0.0912      -0.0339     1.46    0.1074      -0.1342 3804180.00
BIOM3   5.80    -6.05      5.22    4.151      0.00    1.523      14.87      -7.39      -4.35       -8.96       -8.87   -0.5617     -0.686      1.40    -0.2604     -0.8626 62766.80
PCAR5   67.12   -5.91      3.61    26.743     0.00    0.799      9.52       -64.99     -1.86       -73.27      90.86   -0.4115     -4.2684     1.32    -0.0169     -0.612 0.00   
MWET3   13.30   -5.72      -2.64   0.098      0.00    0.096      -1.13      -4.35      -0.15       -16.53      -53.54  -0.0225     -0.0172     0.82    -0.0245     0.4611 0.00   
BLUT3   5.14    -5.63      0.46    0.000      0.00    0.138      -0.76      -42.93     -0.20       -53.97      -53.97  0.00        0.00        0.00    -0.0033     -0.0824 3091.81
BUET3   24.99   -5.46      -0.97   1.961      0.00    0.572      -0.67      -13.13     -0.39       -22.60      -36.32  -0.1493     -0.3593     0.11    -0.0595     0.1779 0.00   
GPAR3   50.00   -5.43      5.48    2138.410   0.00    5.242      18.65      865.11     21.20       825.19      751.14  2.4718      -394.091    30.83   0.008       -1.0098 750.00 
SEER3   6.40    -5.18      0.68    0.460      0.00    0.240      10.14      4.14       -0.55       6.77        3.13    0.111       -0.0888     1.13    0.0621      -0.1322 8573560.00
TLCP3   48.00   -5.02      1.76    0.824      0.00    0.533      -2.76      -26.61     -1.33       -43.86      -43.86  -0.031      -0.164      0.61    -0.0252     -0.3504 0.00   
LFFE4   3.89    -4.91      4.08    0.000      0.00    3.599      0.00       -26.50     0.00        -23.11      10.90   0.00        0.00        0.00    0.00        -0.831 0.00   
CGOS3   26.20   -4.85      1.89    0.509      0.00    0.167      -0.83      -256.60    -0.25       -570.29     -570.29 -0.002      -0.1048     0.54    -0.0008     -0.3902 0.00   
TCNO4   0.85    -4.82      -5.95   0.000      0.00    0.024      -0.06      -2.04      -0.03       -14.27      -16.48  0.00        0.00        0.28    -0.0159     1.2336 0.00   
AALR3   10.45   -4.70      1.22    1.071      0.00    0.450      -5.53      57.94      -1.14       93.41       14.41   0.0185      -0.221      0.74    0.0091      -0.2592 978305.00
PRML3   11.52   -4.41      1.98    18.612     0.00    0.581      23.00      -30.33     -0.93       -63.15      1640.31 -0.6136     -4.2499     2.02    -0.0196     -0.4484 0.00   
MRFG3   9.93    -4.28      1.51    0.068      0.0649  0.069      0.96       10.97      -0.17       49.09       5.45    0.0062      -0.0397     1.22    0.0091      -0.3529 75035000.00
ADHM3   1.56    -4.09      -1.29   770.924    0.00    105.126    -1.43      -5.69      -1.27       -5.69       -5.81   -135.485    -188.606    0.00    5.217       0.3147 2064.00
BUET4   18.49   -4.04      -0.72   1.451      0.00    0.423      -0.50      -9.72      -0.29       -19.18      -30.83  -0.1493     -0.3593     0.11    -0.0595     0.1779 0.00   
PMET5   0.65    -3.95      -0.16   4.518      0.00    30.248     -0.22      89.99      -0.16       503.88      503.88  0.0502      -1.1449     0.01    0.3897      0.041 0.00   
KRSA3   1.08    -3.94      0.82    0.374      0.00    0.175      1.27       3.26       -0.37       11.96       7.25    0.1146      -0.0885     1.92    0.0613      -0.2093 1085280.00
LFFE3   3.11    -3.92      3.26    0.000      0.00    2.877      0.00       -21.18     0.00        -17.80      8.39    0.00        0.00        0.00    0.00        -0.831 0.00   
